Country,Code,Year,Coal,Crude_oil,Natural_gas
Afghanistan,AFG,2000,0.550525141,,2.492378453
Afghanistan,AFG,2001,0.177127288,,0.541821403
Afghanistan,AFG,2002,0.143064334,,0.541821403
Afghanistan,AFG,2003,0.238440556,,0.216728561
Afghanistan,AFG,2004,0.231627978,,0.216728561
Afghanistan,AFG,2005,0.224815338,,0.216728561
Afghanistan,AFG,2006,0.238440556,,0.216728561
Afghanistan,AFG,2007,1.655458614,,0.433457122
Afghanistan,AFG,2008,2.363967643,,0.541821403
Afghanistan,AFG,2009,3.406293452,,0.325092842
Afghanistan,AFG,2010,4.939125529,,1.517099928
Afghanistan,AFG,2011,4.939125529,,
Afghanistan,AFG,2012,5.109413767,,
Afghanistan,AFG,2013,5.142743297,,
Afghanistan,AFG,2014,5.176290241,,
Albania,ALB,2000,0.078128739,3.337061352,0.324161344
Albania,ALB,2001,0.054690122,3.533944493,0.324161344
Albania,ALB,2002,0.200530423,3.727502423,0.324161344
Albania,ALB,2003,0.210947599,3.963215066,0.324161344
Albania,ALB,2004,0.210947599,3.949477936,0.324161344
Albania,ALB,2005,0.166674654,4.118138055,0.324161344
Albania,ALB,2006,0.166674654,4.606991218,0.324161344
Albania,ALB,2007,0.166674654,3.832983536,0.108053781
Albania,ALB,2008,0.221364775,3.5588482,0.324161344
Albania,ALB,2009,0.036460081,3.178459406,0.324161344
Albania,ALB,2010,0.036460081,6.41050541,0.108053781
Albania,ALB,2011,0.023438617,9.164558248,0.108053781
Albania,ALB,2012,0.052085474,9.943382769,0.183692958
Albania,ALB,2013,0.050131177,10.04488424,0.205303714
Albania,ALB,2014,0.048016795,12.1075939,0.181445368
Algeria,DZA,2000,,844.877884,970.9468519
Algeria,DZA,2001,,892.5553705,920.5565299
Algeria,DZA,2002,,953.7300531,924.4057906
Algeria,DZA,2003,,1051.829652,941.3192089
Algeria,DZA,2004,,1087.488417,934.9037744
Algeria,DZA,2005,,1153.670172,1040.87509
Algeria,DZA,2006,,1159.987695,1017.13798
Algeria,DZA,2007,,1160.018117,989.4582982
Algeria,DZA,2008,,1152.303068,1009.031206
Algeria,DZA,2009,,1125.981766,949.7875824
Algeria,DZA,2010,,1108.972675,986.927116
Algeria,DZA,2011,,1098.3603,965.4295799
Algeria,DZA,2012,,1105.578584,1008.436318
Algeria,DZA,2013,,1039.273437,929.0482323
Algeria,DZA,2014,,1014.640452,949.5670896
Angola,AGO,2000,,439.8906774,6.176763992
Angola,AGO,2001,,437.4091563,5.74330687
Angola,AGO,2002,,528.344765,6.718585395
Angola,AGO,2003,,531.9775637,7.043678237
Angola,AGO,2004,,621.6582119,8.127321043
Angola,AGO,2005,,736.5157059,6.862036105
Angola,AGO,2006,,837.1493629,7.178745463
Angola,AGO,2007,,1030.287816,8.762292257
Angola,AGO,2008,,1166.967265,7.178745463
Angola,AGO,2009,,1124.928759,7.28431525
Angola,AGO,2010,,1124.979073,7.748822309
Angola,AGO,2011,,1034.830419,7.938847924
Angola,AGO,2012,,1053.362421,8.023303753
Angola,AGO,2013,,1086.147791,9.765206721
Angola,AGO,2014,,1035.419995,9.722282719
Argentina,ARG,2000,1.694825389,490.3774306,404.6163882
Argentina,ARG,2001,1.218507048,516.5118901,401.6961416
Argentina,ARG,2002,0.631409383,510.3310777,390.5559416
Argentina,ARG,2003,0.581673064,510.4310876,443.8774812
Argentina,ARG,2004,0.33331828,486.4489711,485.4098771
Argentina,ARG,2005,0.163391288,469.9429486,493.5216731
Argentina,ARG,2006,0.921526989,473.0080089,498.6050654
Argentina,ARG,2007,0.718921775,460.5918366,484.8690907
Argentina,ARG,2008,0.60572429,472.2757904,476.54098
Argentina,ARG,2009,0.535923494,472.638433,447.3601456
Argentina,ARG,2010,0.42481742,466.0651573,433.7106968
Argentina,ARG,2011,0.588208709,450.2484499,419.3257784
Argentina,ARG,2012,0.522847596,426.3833289,407.1040056
Argentina,ARG,2013,0.440289961,417.3698614,398.9597639
Argentina,ARG,2014,0.483438377,421.6337428,398.2840089
Aruba,ABW,2000,,1.38907736,
Aruba,ABW,2001,,1.392880128,
Aruba,ABW,2002,,1.392880128,
Aruba,ABW,2003,,1.392880128,
Aruba,ABW,2004,,1.38907736,
Aruba,ABW,2005,,1.386058729,
Aruba,ABW,2006,,1.317715034,
Aruba,ABW,2007,,1.460451479,
Aruba,ABW,2008,,1.453223272,
Aruba,ABW,2009,,1.65714006,
Aruba,ABW,2010,,1.65714006,
Aruba,ABW,2011,,1.65714006,
Aruba,ABW,2012,,1.65714006,
Aruba,ABW,2013,,1.65714006,
Aruba,ABW,2014,,1.65714006,
Australia,AUS,2000,1766.949495,488.2035976,366.5103648
Australia,AUS,2001,1948.779708,452.9462689,374.7967443
Australia,AUS,2002,2005.707669,438.7892131,390.5319297
Australia,AUS,2003,2019.237935,371.3228661,403.0285063
Australia,AUS,2004,2100.813638,328.5969781,414.0397869
Australia,AUS,2005,2208.67177,337.8089737,472.5353311
Australia,AUS,2006,2239.864287,326.9368371,495.4294864
Australia,AUS,2007,2359.438867,346.3460753,444.4943416
Australia,AUS,2008,2366.288234,346.5040641,461.2215621
Australia,AUS,2009,2462.976455,349.3159484,489.8885216
Australia,AUS,2010,2570.347309,356.1664252,560.7039046
Australia,AUS,2011,2437.512973,312.8478244,594.0192451
Australia,AUS,2012,2537.676957,305.404611,649.0579497
Australia,AUS,2013,2723.558626,265.0156624,715.2133614
Australia,AUS,2014,2851.820076,281.7822482,740.8194722
Austria,AUT,2000,3.238924259,14.59019987,18.7751222
Austria,AUT,2001,3.132759778,14.9076337,18.01579452
Austria,AUT,2002,3.667874632,15.85599681,19.5552504
Austria,AUT,2003,2.992486961,15.2750636,21.75001668
Austria,AUT,2004,0.610446558,15.6013057,20.60144847
Austria,AUT,2005,,14.69223786,17.180118
Austria,AUT,2006,,15.87061241,19.14666279
Austria,AUT,2007,,16.32130819,20.52556094
Austria,AUT,2008,,16.12759697,17.00990076
Austria,AUT,2009,,16.62106062,18.51511005
Austria,AUT,2010,,16.92933832,19.20179862
Austria,AUT,2011,,18.00224945,18.84110185
Austria,AUT,2012,,17.28701074,20.22023656
Austria,AUT,2013,,14.55241982,14.52335084
Austria,AUT,2014,,15.63465214,12.83559215
Azerbaijan,AZE,2000,,170.1442068,61.3341828
Azerbaijan,AZE,2001,,182.0979449,61.98436848
Azerbaijan,AZE,2002,,185.9632726,54.84816144
Azerbaijan,AZE,2003,,191.7153626,54.95373122
Azerbaijan,AZE,2004,,187.2695262,53.9275308
Azerbaijan,AZE,2005,,259.4171688,62.64635314
Azerbaijan,AZE,2006,,381.2085765,73.83385249
Azerbaijan,AZE,2007,,500.590863,116.6293407
Azerbaijan,AZE,2008,,517.7617036,181.3259833
Azerbaijan,AZE,2009,,598.9773613,176.7573752
Azerbaijan,AZE,2010,,616.0257763,180.535678
Azerbaijan,AZE,2011,,585.5819085,176.9847244
Azerbaijan,AZE,2012,,549.4158067,154.3798734
Azerbaijan,AZE,2013,,519.1817219,197.034621
Azerbaijan,AZE,2014,,504.5941693,206.1909816
Bahrain,BHR,2000,,29.34617094,92.86818845
Bahrain,BHR,2001,,29.0393377,96.44420971
Bahrain,BHR,2002,,29.1208938,102.5126094
Bahrain,BHR,2003,,29.23685169,104.2464379
Bahrain,BHR,2004,,29.83613251,105.6551736
Bahrain,BHR,2005,,28.01949435,113.065241
Bahrain,BHR,2006,,28.80270532,119.6105678
Bahrain,BHR,2007,,28.55589095,124.3612082
Bahrain,BHR,2008,,28.65210392,131.0121047
Bahrain,BHR,2009,,28.70378029,131.7510932
Bahrain,BHR,2010,,27.80307264,134.812617
Bahrain,BHR,2011,,28.39264904,133.2290702
Bahrain,BHR,2012,,32.5196838,144.6306071
Bahrain,BHR,2013,,36.05714217,165.7445644
Bahrain,BHR,2014,,37.53350632,177.6852163
Bangladesh,BGD,2000,,1.893147491,98.28650598
Bangladesh,BGD,2001,,2.418141687,104.3660837
Bangladesh,BGD,2002,,4.023676125,112.4721872
Bangladesh,BGD,2003,,4.075641389,126.6325111
Bangladesh,BGD,2004,,3.977176235,137.7540811
Bangladesh,BGD,2005,0.426308402,3.98528291,148.667099
Bangladesh,BGD,2006,2.496949335,3.969547116,164.428461
Bangladesh,BGD,2007,1.998666771,3.964411906,174.6247429
Bangladesh,BGD,2008,4.650637362,3.778359283,192.119416
Bangladesh,BGD,2009,4.916388093,3.351004833,210.365394
Bangladesh,BGD,2010,4.263084274,3.410764297,213.6926018
Bangladesh,BGD,2011,4.982825738,3.410764297,215.8391874
Bangladesh,BGD,2012,5.536498773,3.214240797,236.4464097
Bangladesh,BGD,2013,5.572614247,2.821187902,245.3547402
Bangladesh,BGD,2014,5.608965308,2.821187902,255.4142848
Barbados,BRB,2000,,0.902051884,0.316056092
Barbados,BRB,2001,,0.749351598,0.316056092
Barbados,BRB,2002,,0.589576395,0.316056092
Barbados,BRB,2003,,0.589576395,0.316056092
Barbados,BRB,2004,,0.59089115,0.316056092
Barbados,BRB,2005,,0.589576395,0.316056092
Barbados,BRB,2006,,0.609456911,0.316099051
Barbados,BRB,2007,,0.653539538,0.303419986
Barbados,BRB,2008,,0.649123611,0.346765698
Barbados,BRB,2009,,0.451615518,0.216728561
Barbados,BRB,2010,,0.590165971,0.216728561
Barbados,BRB,2011,,0.590165971,0.216728561
Barbados,BRB,2012,,0.590165971,0.216728561
Barbados,BRB,2013,,0.590165971,0.216728561
Barbados,BRB,2014,,0.590165971,0.216935561
Belarus,BLR,2000,,20.45117292,2.157320101
Belarus,BLR,2001,,20.85449623,2.146585653
Belarus,BLR,2002,,19.73266206,2.039256371
Belarus,BLR,2003,,20.24091818,1.717268523
Belarus,BLR,2004,,20.65347427,1.933790084
Belarus,BLR,2005,,20.72631053,1.846063662
Belarus,BLR,2006,,20.99014597,1.824597805
Belarus,BLR,2007,,21.2311648,1.717268523
Belarus,BLR,2008,,20.80947618,1.631405096
Belarus,BLR,2009,,18.90355257,1.60993924
Belarus,BLR,2010,,18.91263204,2.361244219
Belarus,BLR,2011,,18.90673628,2.361244219
Belarus,BLR,2012,,18.90673628,2.221717671
Belarus,BLR,2013,,18.90673628,2.253914936
