date,avg_temp
1/1/1949,26.277
2/1/1949,26.022
3/1/1949,26.003
4/1/1949,25.871
5/1/1949,25.91
6/1/1949,25.495
7/1/1949,25.128
8/1/1949,25.21
9/1/1949,25.777
10/1/1949,25.869
11/1/1949,25.993
12/1/1949,25.536
1/1/1950,25.608
2/1/1950,25.523
3/1/1950,26.16
4/1/1950,26.041
5/1/1950,25.758
6/1/1950,26.031
7/1/1950,25.401
8/1/1950,25.351
9/1/1950,25.352
10/1/1950,25.721
11/1/1950,25.67
12/1/1950,25.235
1/1/1951,25.652
2/1/1951,25.57
3/1/1951,26.054
4/1/1951,25.982
5/1/1951,26.312
6/1/1951,26.137
7/1/1951,25.489
8/1/1951,26.098
9/1/1951,26.052
10/1/1951,26.312
11/1/1951,26.9
12/1/1951,26.417
1/1/1952,26.328
2/1/1952,26.255
3/1/1952,26.177
4/1/1952,26.363
5/1/1952,26.309
6/1/1952,26.024
7/1/1952,25.761
8/1/1952,25.597
9/1/1952,25.958
10/1/1952,26.105
11/1/1952,26.151
12/1/1952,25.912
1/1/1953,25.821
2/1/1953,25.882
3/1/1953,26.098
4/1/1953,26.102
5/1/1953,26.09
6/1/1953,25.989
7/1/1953,25.327
8/1/1953,25.998
9/1/1953,25.977
10/1/1953,26.334
11/1/1953,26.355
12/1/1953,26.374
1/1/1954,26.072
2/1/1954,26.092
3/1/1954,26.284
4/1/1954,26.215
5/1/1954,26.141
6/1/1954,25.795
7/1/1954,25.159
8/1/1954,25.504
9/1/1954,25.768
10/1/1954,25.481
11/1/1954,25.768
12/1/1954,25.513
1/1/1955,25.593
2/1/1955,25.677
3/1/1955,25.964
4/1/1955,25.803
5/1/1955,26.118
6/1/1955,25.638
7/1/1955,25.152
8/1/1955,25.26
9/1/1955,25.635
10/1/1955,25.733
11/1/1955,25.686
12/1/1955,25.669
1/1/1956,25.279
2/1/1956,25.77
3/1/1956,25.967
4/1/1956,26.023
5/1/1956,26.007
6/1/1956,25.718
7/1/1956,25.436
8/1/1956,25.47
